country,product_id,date,zipcode,sales
B,43ace24f-f1d5-4f9b-b99f-55ebedcb5bb7,2024-06-27,97015123.0,1.0
B,8385b744-7cf2-4b52-896c-39a7aecafb74,2024-07-23,20031130.0,1.0
B,211b1fb7-e20f-4d48-acda-5c6c74a9aecd,2024-07-11,34011063.0,9999
B,99772489-a948-47c1-8a54-fc54ea38f7be,2024-06-24,92708145.0,1.0
M,8b7e54d5-fb2a-486d-9d24-3b33a3f5d6ad,2024-06-16,91808.0,1.0
B,d7084000-7534-42ec-b87b-36efabd2d6c4,2024-06-17,22790382.0,1.0
CO,7424669e-862f-41d2-a1e7-04fce7990a58,2024-07-31,543050.0,1.0
M,0310455e-2ec8-4e02-8a12-b59424678ff2,2024-07-13,86080.0,1.0
B,11c9d841-fac0-4175-af5d-6feef5bf3838,2024-06-10,84430000.0,1.0
M,604322f2-4113-4cd8-9c71-750445f91e27,2024-07-08,44730.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-26,29017181.0,9999
M,2da65c66-a400-4306-ab2b-4107d4b26aa5,2024-06-26,86720.0,9999
B,a3387667-d264-42b5-a1e2-d5e7284bc6fa,2024-07-01,30140081.0,1.0
M,1ac7cbd8-aa1c-4bb8-b53a-0536560d46fa,2024-06-05,44150.0,1.0
B,44e7d747-3ce7-480f-9196-e4477e65be6c,2024-06-14,3672010.0,9999
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-19,16700000.0,1.0
B,bad6f927-1f35-4a41-976d-20dda187f6e2,2024-07-15,87160000.0,3.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-18,26127370.0,2.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-16,13201800.0,9999
M,560683ec-ce0c-4f29-b447-647e41197801,2024-06-25,52770.0,1.0
B,eb83cdae-2684-4046-99de-a999cb593e12,2024-06-20,13635114.0,1.0
M,fd5e34b7-b42d-41ea-a3f8-dd4b1824589c,2024-07-05,22163.0,1.0
M,6056c495-a51b-419a-83b1-80fc1dc1a441,2024-07-13,27087.0,1.0
B,8077d383-846e-4f96-b68e-234fa3e49a6a,2024-06-12,4143020.0,9999
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-07-19,38470000.0,1.0
B,76809850-27dd-48ff-8abc-5c93b28fa231,2024-07-22,76810602.0,1.0
B,979f7e16-d4c7-429f-8eab-c1628d62240a,2024-06-13,57316090.0,1.0
M,9071acb2-3b78-40e4-866b-5b14121b9213,2024-06-29,25140.0,1.0
M,60a46a42-7403-4b2a-94b5-a2155e3baa2f,2024-06-26,75127.0,1.0
B,c622952d-a1e5-43b6-929e-f13f1ac81ef0,2024-07-06,36180000.0,1.0
M,d0188190-7f2c-43cf-8e66-405210d2d736,2024-06-10,72770.0,9999
B,6af9203d-8557-4ec6-8c98-1cd8f2bbb3b1,2024-07-21,48620000.0,1.0
B,482fc0fc-5050-4dae-aa7e-973f1e6d47f3,2024-06-13,71953100.0,1.0
M,6a76e5cc-15d0-4d18-93ce-f63be1d2b87e,2024-07-21,77539.0,1.0
B,03b56f4c-f2ec-4ee5-8341-87ef3e39a90e,2024-07-10,13186696.0,1.0
M,187b24cc-c009-4e2f-82e9-8719b17e1a08,2024-06-18,60998.0,9999
B,4ae2289e-024f-4248-8013-202b8350b711,2024-06-05,35522364.0,9999
B,c8371be8-021e-4275-8f14-10e658ce3002,2024-07-22,21361030.0,12.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-06-07,44720.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-06-12,19801210.0,9999
M,6b81be15-bbaa-4700-930b-fd8ed6786b02,2024-08-07,60330.0,9999
M,29387e7a-0f28-430a-a110-6653838b75c5,2024-06-01,67254.0,1.0
B,3c0923d0-cbc2-4b4f-9a26-79d5f7b7b2f3,2024-07-22,9820780.0,2.0
B,0a6e577f-8956-4c92-ad3b-cfdd2075a5cf,2024-06-17,42803800.0,1.0
B,3ffa9e2d-689e-4612-95e9-1500300d6ac7,2024-07-22,39508000.0,1.0
M,b9324ab0-84cd-4d4b-b67e-115a309f9659,2024-07-08,11800.0,9999
B,272ddb46-ffaa-4960-95bd-3a2a8d2497cf,2024-06-01,13425010.0,1.0
M,d9bc982c-4fd0-430a-8f10-3997f1df454c,2024-06-16,38214.0,1.0
A,c2e893b6-9ca4-4abf-9b85-1135f3fde4f2,2024-07-16,8322.0,1.0
M,f90111ab-1464-4df8-8829-3bca2c0858ae,2024-08-06,67485.0,1.0
M,8779965c-df5b-414a-8ec6-b7731e74ba6f,2024-07-10,65500.0,9999
A,545bbf9a-cb2f-4766-ade3-6214bdc7d924,2024-06-09,3020.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-06-13,12328150.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-07-19,12235625.0,1.0
B,7d239624-0ed5-4f04-8988-eb171738b8f0,2024-07-27,5272010.0,1.0
B,0cd34cc6-1752-4523-89a6-9852a560c41a,2024-08-04,49400000.0,1.0
M,8f5468e8-a41e-402b-8e0f-c679a732aca1,2024-06-24,95204.0,9999
M,3eea6b20-492f-4f06-9740-3d142d3ef706,2024-06-24,22170.0,1.0
B,a3387667-d264-42b5-a1e2-d5e7284bc6fa,2024-06-29,29701475.0,1.0
C,a9eac6ef-943a-4a10-a563-4ad5262c83ba,2024-07-30,,4.0
M,7ef6b6f8-1603-4b1d-9bbe-c440c59fc7e1,2024-06-20,78398.0,1.0
B,5d02a64e-8abb-4f32-a83b-ea032f682186,2024-07-11,83209375.0,1.0
B,c8230c8a-20ab-4f27-bcb8-38bb489dea7e,2024-07-23,47100000.0,9999
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-29,96212720.0,1.0
B,44e7d747-3ce7-480f-9196-e4477e65be6c,2024-06-13,2723000.0,1.0
B,2b6ec472-e060-43ed-b343-cc9052eb11be,2024-06-03,86884000.0,2.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-26,35300312.0,1.0
M,ec6e876f-72af-4771-8ce2-302d661c3a88,2024-06-10,7880.0,3.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-15,13710000.0,2.0
B,d934fd6d-b03a-4dae-89a7-26f9aa9d0c60,2024-06-18,38181616.0,1.0
B,1b13021c-acb0-4fea-b6d4-f44d70ff3647,2024-06-10,24220070.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-07-04,88820000.0,9999
B,dfa68263-7b7f-41e9-b267-09f046956a6c,2024-06-18,85690013.0,1.0
B,de915771-fd40-4cb7-a7d9-551e9b09df64,2024-07-13,13224060.0,1.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-18,84900000.0,1.0
B,b3b40437-8657-4fb8-a3dc-ed4ed9125b6e,2024-07-24,88380000.0,9999
M,b4e7ea78-d0f2-409f-b2f0-31188e407c59,2024-07-05,46474.0,1.0
M,a5805c85-27f9-4663-a061-474c4064a0ac,2024-06-01,22246.0,1.0
M,fd5e34b7-b42d-41ea-a3f8-dd4b1824589c,2024-08-03,95600.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-12,87670000.0,9999
B,b1a820c2-7021-4fd9-8696-fd3f1b2cad69,2024-06-14,13483515.0,1.0
M,aa206a3d-3a95-4d4c-883f-959c083d7dac,2024-06-17,34225.0,9999
B,52d6f6da-b643-4191-8f8f-7b2d2b4363c0,2024-08-01,85548000.0,9999
B,c622952d-a1e5-43b6-929e-f13f1ac81ef0,2024-07-09,12946000.0,1.0
B,5c1e2b01-4392-49d4-9a74-bc7ae9116d9d,2024-07-19,20551180.0,1.0
B,8077d383-846e-4f96-b68e-234fa3e49a6a,2024-07-29,80310100.0,2.0
B,24015dce-eb04-48f0-9b6c-04c08f3abd9f,2024-07-05,17128056.0,1.0
B,5d02a64e-8abb-4f32-a83b-ea032f682186,2024-06-20,35020020.0,1.0
M,5de72eab-3078-4d23-8469-027431b2b410,2024-07-15,76223.0,9999
B,211b1fb7-e20f-4d48-acda-5c6c74a9aecd,2024-07-07,86185010.0,1.0
B,63842057-07bc-44b4-988c-804edde6e83a,2024-07-11,88370813.0,1.0
M,0b2b8499-495e-4920-ac9b-1f835369e6a3,2024-06-17,70430.0,2.0
B,f95b7b37-2f87-4e2c-bfc1-574bab806a5c,2024-06-28,8275510.0,1.0
M,3203a429-e8f4-4e88-bd51-0a4d3e117383,2024-07-16,85450.0,9999
M,9925e7dd-0df9-4305-80b1-7af7e0ab0764,2024-06-22,45070.0,9999
M,a5805c85-27f9-4663-a061-474c4064a0ac,2024-06-14,26950.0,9999
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-06-18,78895044.0,1.0
B,c0f7eb6f-f2a2-460c-b060-0486adf86539,2024-06-13,13846071.0,9999
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-18,22450250.0,2.0
M,853ab2fb-d359-4813-a7fb-1ea39d2baca2,2024-07-28,29010.0,9999
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-08-05,83840000.0,9999
B,31aa02de-7d86-44cb-901a-e330f4cdfc8f,2024-06-10,36940000.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-01,96205070.0,1.0
B,abb46cd5-bf31-431c-a883-e415ea3deba6,2024-06-03,9973006.0,9999
M,9d5c455d-8595-49b4-a6b2-8a5deaa1effc,2024-07-08,83170.0,4.0
M,0d6b6825-1760-4d32-9cef-a54b4b8fd421,2024-07-14,72450.0,2.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-18,13222030.0,1.0
M,6ef373e5-38fe-46a5-8e6a-aa7c02d5e386,2024-07-09,56600.0,1.0
B,44e7d747-3ce7-480f-9196-e4477e65be6c,2024-06-10,13179313.0,1.0
B,85e2a9ec-ba2d-435f-8962-6f50234848ad,2024-08-01,45470000.0,1.0
B,76024871-701d-407e-8bc9-ca5f277c1533,2024-06-24,41254260.0,1.0
M,8da0db1d-6bb1-49b8-acd2-8495e1dc737c,2024-07-05,9750.0,1.0
B,d6c5d7a6-b697-405e-8cca-62e6fb64f19e,2024-07-27,21540400.0,9999
M,9cc2c471-7f96-4154-9518-e241d7efc5ed,2024-07-22,40883.0,1.0
B,81489891-02df-47c1-ab89-17054e339956,2024-06-06,12285295.0,1.0
M,6ef373e5-38fe-46a5-8e6a-aa7c02d5e386,2024-06-27,20299.0,9999
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-07-17,78716.0,1.0
M,9925e7dd-0df9-4305-80b1-7af7e0ab0764,2024-07-16,39888.0,9999
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-15,2542110.0,9999
B,ede71050-d155-46b0-a217-693c52a0561b,2024-06-11,14260000.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-06-29,93037480.0,9999
M,16d20241-60b0-4c6b-b7e3-b8b5e7f3f9e6,2024-07-14,66003.0,1.0
B,252abfef-7e62-45b3-b2bd-fecf603c61a5,2024-08-05,22450200.0,1.0
M,604322f2-4113-4cd8-9c71-750445f91e27,2024-08-02,66056.0,1.0
M,09407f3d-8e3c-439e-850a-2c9df8080c7c,2024-07-21,50564.0,2.0
A,f779d7c3-ed2d-4a6e-bab9-2273dd5b3b52,2024-08-06,1878.0,1.0
B,7ee2b047-a541-4bb6-aa57-2e1f887234ad,2024-06-09,12043280.0,1.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-18,67013710.0,2.0
B,d2ade748-d430-4b15-955e-c2a52c3a11ec,2024-08-06,3258010.0,1.0
B,211b1fb7-e20f-4d48-acda-5c6c74a9aecd,2024-08-06,86400000.0,1.0
B,ebd1eb4d-af9f-4074-95ed-d197b2acc7d6,2024-06-04,13497168.0,9999
M,d8308d51-f595-492d-a85b-d80b724e87d1,2024-06-27,42151.0,1.0
B,513aef2d-3584-481b-a7fa-0dcc58df3693,2024-06-13,99315000.0,1.0
B,252abfef-7e62-45b3-b2bd-fecf603c61a5,2024-08-06,18136010.0,2.0
M,8573e385-b2ad-4aca-ad1f-fa16cc44f528,2024-06-16,25796.0,1.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-17,21725560.0,1.0
B,d7df1bc6-cb62-4594-8f08-e2bbca8aeac7,2024-06-10,37130069.0,1.0
B,429439f8-9050-475f-b8a6-8e502391e165,2024-07-21,89805552.0,1.0
B,252abfef-7e62-45b3-b2bd-fecf603c61a5,2024-07-05,12478038.0,9999
B,caa27498-847a-4cc6-a9f0-0c26e55ab867,2024-07-04,89026470.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-30,27935270.0,9999
B,b7a56357-a4a2-4bdf-94be-cb82636bd7ec,2024-07-09,4634041.0,1.0
B,a3387667-d264-42b5-a1e2-d5e7284bc6fa,2024-06-27,22251070.0,1.0
B,a3387667-d264-42b5-a1e2-d5e7284bc6fa,2024-07-10,76873290.0,1.0
M,4d9ad337-ffe3-49de-9e79-70c73c574dbe,2024-06-15,72308.0,1.0
M,48c6115e-0a80-4daf-a8a4-9fcd456de8a4,2024-07-04,61820.0,1.0
B,482fc0fc-5050-4dae-aa7e-973f1e6d47f3,2024-06-08,42808155.0,1.0
M,dc41ca2d-d51c-4670-91b4-cfeacd35fd64,2024-06-03,55020.0,1.0
B,981a29f2-5cb7-4757-98bb-fe6d4604cb09,2024-06-22,14600000.0,1.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-08-06,91198.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-26,8452080.0,1.0
B,209c03f2-dac6-4010-a9bb-debd2b5d0acb,2024-06-01,86037843.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-12,83325578.0,1.0
M,cd05bd04-87bb-4ad3-a651-ca5faab45fa8,2024-06-25,42504.0,9999
B,5cac0a12-9675-4b47-89b2-c2baccc52219,2024-07-24,6462210.0,1.0
B,c2ea2711-b50e-45d4-b5a5-48e3adb44880,2024-06-22,84035370.0,1.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-06,13318006.0,2.0
B,8e22046c-c6fd-4eea-8e4d-f32877caabc7,2024-07-06,13298242.0,1.0
B,e1028ad9-c440-4ffe-9dfe-7640356ee51c,2024-06-29,14860000.0,1.0
M,6241a068-0f27-4e46-a20e-78f94264384b,2024-06-20,54753.0,9999
A,64a9bcdb-ff2e-4173-856f-0774d65f1b41,2024-07-03,1250.0,9999
M,7a226b75-ed68-4d16-903d-438d148dd2fa,2024-07-24,53140.0,1.0
B,2f529dfc-3f50-4d86-9168-3b3789532e80,2024-07-06,89700130.0,1.0
B,717cd152-b288-4437-ac44-07e4bf777ff6,2024-06-19,86870000.0,1.0
B,429439f8-9050-475f-b8a6-8e502391e165,2024-07-01,4562001.0,1.0
B,d32adec6-3cf6-42ff-98c7-2483b28b9f15,2024-07-13,13400853.0,3.0
B,6f8ea1e6-61f3-4aa3-b44d-1ba5584baa9e,2024-06-18,28027141.0,4.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-06-18,12423770.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-11,85816302.0,1.0
B,2ba36bfd-c32e-4df0-8646-2520a738300f,2024-06-16,86806762.0,9999
M,1c359141-0d64-4439-bd48-0dbb2b43d132,2024-06-03,47710.0,1.0
M,c2065c2b-ce0a-450d-af66-1c7e265b0f00,2024-08-04,15750.0,1.0
B,482fc0fc-5050-4dae-aa7e-973f1e6d47f3,2024-07-27,25240080.0,1.0
B,fe315793-9956-441b-addc-68b76fa7df06,2024-06-27,4709110.0,4.0
B,449a2db0-8cc6-4f58-935f-1dbe6046a779,2024-06-23,97640000.0,1.0
M,d86b4480-902f-44aa-b574-725d04ee4e9c,2024-06-10,73880.0,9999
A,845c6772-dc9f-482b-9c43-492fe6e494d5,2024-06-23,3170.0,1.0
B,aec528ad-3700-4779-bf27-ca442375c60e,2024-07-11,36780000.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-06-25,34003536.0,1.0
M,dc41ca2d-d51c-4670-91b4-cfeacd35fd64,2024-08-03,77720.0,1.0
B,6dc2c321-cd0a-4ee3-83d8-921fcbf2f9cc,2024-08-05,17012623.0,1.0
M,d5d73b79-48aa-4a36-8eed-86c311ec3bc9,2024-07-09,36570.0,1.0
B,fb3b9ddc-a7c2-4844-9106-4edd80c2d2b9,2024-08-07,7662760.0,1.0
M,7ef6b6f8-1603-4b1d-9bbe-c440c59fc7e1,2024-07-17,52436.0,2.0
B,1351c284-325a-413f-bf21-b0d5e33b0355,2024-07-07,89820000.0,2.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-02,25716130.0,1.0
B,7d239624-0ed5-4f04-8988-eb171738b8f0,2024-07-26,13563264.0,1.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-07-01,66360.0,1.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-07-17,78716.0,1.0
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-07-18,3121020.0,1.0
B,fa09fd5f-4953-4bab-a4ea-bdaa5cd9ce54,2024-07-31,45661720.0,3.0
B,482fc0fc-5050-4dae-aa7e-973f1e6d47f3,2024-07-21,18115440.0,1.0
B,e0d1d6b4-c9d8-4956-8ac0-db09b1dae681,2024-06-21,9320030.0,1.0
B,de915771-fd40-4cb7-a7d9-551e9b09df64,2024-07-28,92330500.0,1.0
A,40932794-dcab-4f4f-a90d-02ed639d32e4,2024-07-30,8324.0,1.0
M,c55711c0-deaa-4d27-b9c8-f1b177636fbd,2024-07-17,82070.0,9999
B,f5aca7c4-711d-40d8-8dc4-e525cdd8c9cc,2024-06-07,28930000.0,1.0
B,d4c08a18-51ed-48b7-9b06-87593cf1f5b8,2024-08-05,41600610.0,1.0
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-07-14,24725060.0,2.0
M,73a17df9-33a3-46a0-b6f1-2911dd0b7d01,2024-06-04,91143.0,1.0
B,6dc2c321-cd0a-4ee3-83d8-921fcbf2f9cc,2024-06-12,89201020.0,1.0
M,3203a429-e8f4-4e88-bd51-0a4d3e117383,2024-07-15,91660.0,1.0
B,211b1fb7-e20f-4d48-acda-5c6c74a9aecd,2024-07-15,32450000.0,1.0
M,aa206a3d-3a95-4d4c-883f-959c083d7dac,2024-06-24,56130.0,1.0
M,d5d73b79-48aa-4a36-8eed-86c311ec3bc9,2024-07-18,54473.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-07-03,81770230.0,1.0
M,0e8184cd-57d7-4433-ac51-b4c974a31050,2024-07-02,4300.0,1.0
B,57af9e2a-cd0f-4349-a4a7-21c6e537beaa,2024-06-25,37600000.0,1.0
M,16d20241-60b0-4c6b-b7e3-b8b5e7f3f9e6,2024-06-08,54713.0,2.0
M,16d20241-60b0-4c6b-b7e3-b8b5e7f3f9e6,2024-08-07,87000.0,1.0
M,c55711c0-deaa-4d27-b9c8-f1b177636fbd,2024-07-01,56360.0,1.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-08-07,45140.0,1.0
B,62a27a73-6134-43d2-8f23-39330303493a,2024-06-13,4538110.0,1.0
B,1b4dec01-ac5c-48c2-a18e-7bdd868b33df,2024-07-22,55200000.0,5.0
B,2f529dfc-3f50-4d86-9168-3b3789532e80,2024-07-02,42833000.0,1.0
B,d4a6f9c5-938e-4239-b9b7-69f8b60db089,2024-07-18,82220170.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-06-19,9340450.0,1.0
B,da5d9523-a7b6-49a9-8017-dc24624b0d79,2024-06-19,41770090.0,9999
A,a51c7fa1-e434-4e18-a1fb-259b877d38c8,2024-07-29,7000.0,9999
B,c5b9d75d-86bc-4e87-87c4-1d751096d21a,2024-08-05,93800134.0,1.0
M,da0c6b55-a455-49ad-9d70-12fa9109b9ec,2024-07-14,59204.0,9999
B,8a444162-6f97-4f1a-b782-290dca5f5da7,2024-06-09,92415000.0,9999
B,0576299b-d2b9-4a95-9f65-aa74f303726a,2024-07-24,48967000.0,1.0
M,f45b2ec3-d967-4bd0-a0cb-69e2e4b79a62,2024-07-01,25088.0,1.0
M,85d1a2ac-396e-438a-86dd-d8afca837eaf,2024-06-20,72700.0,1.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-07-26,61700000.0,9999
M,7d6e910c-9b53-4390-bfef-9a5a531c2816,2024-07-02,39690.0,2.0
M,62d89f3f-6c28-4395-a2e0-f76293a197e9,2024-07-03,22706.0,9999
B,cd06ede5-57ff-45d9-b529-f5949f6a7d39,2024-06-19,76570000.0,1.0
B,6d4d43f1-a022-4886-965a-6db7778140d0,2024-06-22,11070070.0,1.0
B,5c1e2b01-4392-49d4-9a74-bc7ae9116d9d,2024-07-09,2340000.0,1.0
B,2c1ad666-2422-49d6-a0f5-3effa24427f4,2024-06-04,88048378.0,1.0
B,e422d2c6-e0be-4a6b-b191-95984e88c299,2024-07-04,7171090.0,9999
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-01,83708100.0,1.0
M,6bcbcacb-264a-4977-b85c-18420d42184f,2024-06-19,77504.0,1.0
B,43ace24f-f1d5-4f9b-b99f-55ebedcb5bb7,2024-07-12,24740440.0,1.0
B,1099141d-d4f7-4987-9b5d-43241fe58d80,2024-06-19,14409675.0,9999
B,57af9e2a-cd0f-4349-a4a7-21c6e537beaa,2024-06-20,11790000.0,9999
M,82a2ed12-4c7e-4394-8b4c-1e036417d243,2024-07-10,67350.0,9999
B,717cd152-b288-4437-ac44-07e4bf777ff6,2024-06-27,13212583.0,1.0
B,81489891-02df-47c1-ab89-17054e339956,2024-07-09,15053270.0,1.0
M,2aa5e3b8-20e6-419c-86a3-1246c1273f57,2024-07-02,25734.0,1.0
B,0c511b76-393d-4970-85a0-db86ea2f16fe,2024-07-05,13420264.0,1.0
B,6dc2c321-cd0a-4ee3-83d8-921fcbf2f9cc,2024-07-29,98465000.0,9999
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-29,22280020.0,1.0
M,0b2b8499-495e-4920-ac9b-1f835369e6a3,2024-06-08,67197.0,1.0
B,5d07cc49-e0e5-4439-9877-deb84999b66a,2024-07-26,78579000.0,1.0
B,3cf27fbe-bece-4f34-a077-91d91b0590d8,2024-06-29,31535580.0,1.0
B,1b13021c-acb0-4fea-b6d4-f44d70ff3647,2024-06-14,34300000.0,1.0
M,2f1c2222-d25a-445f-a605-61cb6c4c2c2e,2024-07-28,22204.0,1.0
B,a5f73409-a308-4e43-94a0-e8e2d092ace8,2024-08-05,18205715.0,1.0
M,0d6b6825-1760-4d32-9cef-a54b4b8fd421,2024-06-26,69300.0,1.0
B,81489891-02df-47c1-ab89-17054e339956,2024-06-06,11085691.0,1.0
B,99772489-a948-47c1-8a54-fc54ea38f7be,2024-07-09,13175230.0,1.0
B,c3cda545-0c6f-40da-b12a-1ddf339295cb,2024-07-02,93220680.0,9999
B,31aa02de-7d86-44cb-901a-e330f4cdfc8f,2024-07-29,86860000.0,1.0
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-07-23,15081220.0,1.0
B,359740b7-aff4-404f-8249-a6ceb48a9a09,2024-07-07,18245000.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-08-04,29900490.0,1.0
B,7b488e3f-284c-4851-b0b9-7cfd0594cb7d,2024-07-03,89196000.0,1.0
M,14654f91-babf-471a-807e-d253ac216c7f,2024-07-12,21370.0,1.0
B,4d31b19c-ce3c-411b-befb-7f4fe716704c,2024-06-28,18440000.0,9999
M,da20add0-9f1b-4800-a31b-2085d849c6fd,2024-07-15,3800.0,9999
B,cd06ede5-57ff-45d9-b529-f5949f6a7d39,2024-06-12,32490404.0,1.0
B,5c1e2b01-4392-49d4-9a74-bc7ae9116d9d,2024-07-16,83206280.0,1.0
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-08-06,84264125.0,1.0
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-07-15,79112342.0,2.0
B,80296c74-d7d4-4ae0-b779-7489b0e90780,2024-06-19,83590000.0,1.0
M,7c537f34-1d14-42f4-ba32-c8338d9ff51a,2024-06-24,48290.0,9999
M,64dc7364-814f-419d-8d54-b8732d4eb6e5,2024-07-09,23427.0,1.0
B,6d495940-00fa-4477-9b8a-37edb645131e,2024-07-17,6160160.0,1.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-07-04,38900.0,1.0
B,7d239624-0ed5-4f04-8988-eb171738b8f0,2024-07-10,4512001.0,1.0
