country,s_zipcode,e_zipcode,city
B,55633970,55636000,B1
B,55408970,55409000,B1
B,56600000,56620970,B1
B,58995000,59010000,B1
B,56916990,56923000,B1
B,55343970,55345000,B1
B,45600002,45648970,B1
B,58920000,58922000,B1
B,48130000,48280000,B1
B,59578000,59803000,B1
B,44905000,44911000,B1
B,57980000,58010000,B1
B,58487000,58548000,B1
B,59960000,59985000,B1
B,49830000,49900000,B1
B,64640000,64645000,B1
B,56640000,56650970,B1
B,58625000,58640000,B1
B,55735970,55740000,B1
B,45436000,45440000,B1
B,57460000,57500000,B1
B,55496970,55500000,B1
B,55740000,55746972,B1
B,55385000,55400000,B1
B,55405000,55408970,B1
B,47200000,47400000,B1
B,64560000,64570000,B1
B,45672990,45673000,B1
B,55250000,55255990,B1
B,45834000,45838500,B1
B,55620000,55630000,B1
B,55270000,55275970,B1
B,59248970,59250000,B1
B,58890000,58893000,B1
B,58550000,58570000,B1
B,62385990,62390000,B1
B,45330000,45340000,B1
B,59220000,59240000,B1
B,57550000,57630000,B1
B,65600010,65660000,B1
B,65943000,65945000,B1
B,46875000,46880000,B1
B,58235000,58250000,B1
B,58620000,58625000,B1
B,45130000,45178000,B1
B,55652970,55655000,B1
B,65213000,65263000,B1
B,58993000,58995000,B1
B,46438970,46470000,B1
B,55121971,55125000,B1
B,45315000,45320000,B1
B,56460000,56533970,B1
B,55900000,56000000,B1
B,56720000,56730000,B1
B,64108000,64110000,B1
B,58233000,58235000,B1
B,65763000,65768000,B1
B,45440000,45450000,B1
B,65830000,65860000,B1
B,58887000,58890000,B1
B,62363990,62365000,B1
B,64830000,64833000,B1
B,63540000,63570000,B1
B,41311003,41411000,B1
B,65683000,65700000,B1
B,63660000,63670000,B1
B,65200000,65210000,B1
B,64000010,64100000,B1
B,44640000,44645000,B1
B,62414990,62420000,B1
B,57935000,57940000,B1
B,55409000,55410000,B1
B,48800000,48830000,B1
B,55746972,55750000,B1
B,64516000,64520000,B1
B,58900000,58919000,B1
B,61955990,62000990,B1
B,64500000,64514000,B1
B,46270000,46280000,B1
B,64840000,64890000,B1
B,55380000,55383000,B1
B,48570000,48580000,B1
B,65770000,65810000,B1
B,58824000,58830000,B1
B,48830000,48840000,B1
B,64825000,64830000,B1
B,55475970,55480000,B1
B,56560000,56580000,B1
B,44350000,44570330,B1
B,45820002,45834000,B1
B,62540000,62603000,B1
B,55172970,55175000,B1
B,65270000,65280000,B1
B,58370000,58375000,B1
B,62230000,62232990,B1
B,55595970,55602000,B1
B,55715000,55735970,B1
B,40010000,41310000,B1
B,44700000,44904000,B1
B,58010000,58115000,B1
B,55578000,55585970,B1
B,57925000,57930000,B1
B,64535000,64550000,B1
B,55485970,55490000,B1
B,55875970,55880000,B1
B,55260000,55265970,B1
B,58208000,58220000,B1
B,45200005,45255000,B1
B,56537970,56555970,B1
B,58650000,58665000,B1
B,58200000,58206970,B1
B,56990971,57010000,B1
B,49780000,49820000,B1
B,59540000,59544000,B1
B,63475000,63480000,B1
B,45880000,46100970,B1
B,62844990,62847000,B1
B,56300990,56355000,B1
B,58315000,58362000,B1
B,56925990,56930000,B1
B,49930000,49940000,B1
B,44348970,44350000,B1
B,55402970,55405000,B1
B,55660000,55661990,B1
B,59240000,59248970,B1
B,45180000,45200005,B1
B,55145970,55150001,B1
B,49530000,49560000,B1
B,40000990,40010000,B1
B,58195000,58200000,B1
B,48290000,48382970,B1
B,58830000,58835000,B1
B,62695990,62719000,B1
B,64635000,64638000,B1
B,59200000,59214000,B1
B,55525000,55548970,B1
B,45876970,45880000,B1
B,47580000,47680000,B1
B,49700000,49750000,B1
B,49760000,49780000,B1
B,56220000,56230000,B1
B,46140000,46197000,B1
B,62340000,62352990,B1
B,55505971,55510000,B1
B,65950000,65962000,B1
B,57200000,57220000,B1
B,64278000,64290000,B1
B,56120000,56145970,B1
B,65740000,65753000,B1
B,45465000,45540000,B1
B,45545000,45546000,B1
B,65895000,65900001,B1
B,63195000,63230000,B1
B,55190001,55205970,B1
B,64290000,64295000,B1
B,64140000,64160000,B1
B,58170000,58173000,B1
B,64325000,64330000,B1
B,47400000,47550000,B1
B,48680000,48700000,B1
B,53590990,53605000,B1
B,48000001,48110000,B1
B,65723000,65730000,B1
B,62200000,62215000,B1
B,44915000,44935000,B1
B,59165990,59168000,B1
B,58396000,58399000,B1
B,56705970,56720000,B1
B,48924200,48925000,B1
B,63010000,63097000,B1
B,59945000,59957970,B1
B,47700000,47800001,B1
B,63600000,63650000,B1
B,48565000,48570000,B1
B,48870000,48880000,B1
B,65720000,65723000,B1
B,65299000,65307000,B1
B,58935000,58990000,B1
B,55181970,55190001,B1
B,63100005,63144990,B1
B,59528000,59538000,B1
B,65900001,65920000,B1
B,49000001,49094959,B1
B,45648970,45650015,B1
B,49900000,49910000,B1
B,47560000,47565971,B1
B,65660000,65665000,B1
B,44150000,44249970,B1
B,48960000,49000001,B1
B,63180970,63190000,B1
B,55160990,55168000,B1
B,48860000,48870000,B1
B,45450000,45465000,B1
B,55515000,55522970,B1
B,65939000,65940000,B1
B,42850000,44001001,B1
B,56870000,56880970,B1
B,65860000,65895000,B1
B,62620000,62630000,B1
B,56150000,56163000,B1
B,65925000,65929000,B1
B,56650970,56670000,B1
B,46200000,46270000,B1
B,63750000,63770000,B1
B,55480000,55485970,B1
B,64645000,64700000,B1
B,59987000,59999997,B1
B,64748000,64753000,B1
B,48601000,48650000,B1
B,64490000,64500000,B1
B,59957970,59958000,B1
B,41480000,42505010,B1
B,54500990,54503010,B1
B,46130000,46140000,B1
B,62365000,62373990,B1
B,55555000,55575970,B1
B,45000010,45128000,B1
B,45400000,45436000,B1
B,55345000,55353970,B1
B,57250000,57257000,B1
B,55575970,55578000,B1
B,59890000,59943000,B1
B,65490000,65495000,B1
B,56740000,56770970,B1
B,55170000,55172970,B1
B,44655000,44690000,B1
B,62410000,62414990,B1
B,56850000,56860970,B1
B,39999999,40000990,B1
B,64200005,64240000,B1
B,58755000,58760000,B1
B,55896970,55898970,B1
B,57660000,57720000,B1
B,57760000,57840000,B1
B,65398000,65490000,B1
B,55374970,55375000,B1
B,55690000,55705970,B1
B,45860000,45876970,B1
B,55672970,55675000,B1
B,58640000,58650000,B1
B,56880970,56895000,B1
B,47850970,47900000,B1
B,57840000,57900000,B1
B,55636000,55652970,B1
B,63652990,63660000,B1
B,56145970,56150000,B1
B,55415000,55423972,B1
B,64770000,64773000,B1
B,64360000,64365000,B1
B,58220000,58233000,B1
B,56360000,56400000,B1
B,64160000,64178000,B1
B,45800000,45820002,B1
B,62254990,62255000,B1
B,63165000,63170000,B1
B,64788000,64793000,B1
B,55655000,55658990,B1
B,56265970,56270970,B1
B,65265000,65269000,B1
B,58855000,58887000,B1
B,59188000,59200000,B1
B,55000990,55002000,B1
B,62430000,62499000,B1
B,65289000,65290000,B1
B,57230000,57240002,B1
B,62800000,62840000,B1
B,54749990,54753000,B1
B,63780000,63950000,B1
B,62850000,62900970,B1
B,45550000,45600002,B1
B,64340000,64345000,B1
B,45255000,45258000,B1
B,57440000,57460000,B1
B,55450000,55473970,B1
B,42840992,42841990,B1
B,48110000,48130000,B1
B,57010000,57200000,B1
B,55665000,55672970,B1
B,63360000,63400000,B1
B,62250000,62254990,B1
B,56860970,56870000,B1
B,58819000,58820000,B1
B,63150000,63160000,B1
B,64700000,64705000,B1
B,59250000,59251970,B1
B,64573000,64600002,B1
B,55685970,55690000,B1
B,55898970,55900000,B1
B,57260000,57410000,B1
B,57900000,57925000,B1
B,62352990,62360000,B1
B,59168000,59187970,B1
B,64613000,64630000,B1
B,65730000,65740000,B1
B,55353970,55355000,B1
B,44690000,44699000,B1
B,46880000,46966970,B1
B,55325000,55343970,B1
B,58206970,58208000,B1
B,64253000,64275000,B1
B,58375000,58390000,B1
B,64178000,64200005,B1
B,48880000,48924200,B1
B,48382970,48390000,B1
B,63290000,63300000,B1
B,45736970,45740000,B1
B,55880000,55895970,B1
B,58575000,58620000,B1
B,62848990,62850000,B1
B,63144990,63145000,B1
B,45740000,45790000,B1
B,64775000,64780000,B1
B,56400000,56401970,B1
B,56105970,56110971,B1
B,64110000,64140000,B1
B,58400002,58485000,B1
B,62768990,62770000,B1
B,55473970,55475970,B1
B,49514000,49517000,B1
B,57940000,57960000,B1
B,55585970,55590000,B1
B,55265970,55270000,B1
B,62375000,62385990,B1
B,59300000,59400000,B1
B,59010000,59165990,B1
B,60010000,61755000,B1
B,47156970,47160000,B1
B,49945000,50010000,B1
B,56163000,56200000,B1
B,62840000,62844990,B1
B,59999997,60010000,B1
B,48390000,48540000,B1
B,57930000,57935000,B1
B,59490000,59522000,B1
B,59255000,59300000,B1
B,56555970,56560000,B1
B,59214000,59220000,B1
B,63520000,63530000,B1
B,55322970,55325000,B1
B,57635000,57660000,B1
B,55125000,55145970,B1
B,64240000,64243000,B1
B,55423972,55430000,B1
B,46100970,46122500,B1
B,58115000,58156000,B1
B,46470000,46478970,B1
B,58823000,58824000,B1
B,64105000,64108000,B1
B,65310000,65395000,B1
B,45650015,45664000,B1
B,48540000,48565000,B1
B,56680970,56700000,B1
B,42841990,42843000,B1
B,56533970,56537970,B1
B,56700000,56705970,B1
B,59251970,59255000,B1
B,56780000,56850000,B1
B,59400000,59490000,B1
B,55430000,55440000,B1
B,62000990,62119000,B1
B,62900970,62955000,B1
B,47800001,47845000,B1
B,45790000,45800000,B1
B,55522970,55525000,B1
B,58187000,58188000,B1
B,56770970,56780000,B1
B,64300000,64308000,B1
B,63960000,63970000,B1
B,56000000,56105970,B1
B,64800002,64815000,B1
B,63490000,63515000,B1
B,45675000,45736970,B1
B,65002900,65180000,B1
B,55355000,55374970,B1
B,53500990,53510020,B1
B,65395000,65398000,B1
B,55205970,55240000,B1
B,62740000,62759100,B1
B,56895000,56916990,B1
B,64440000,64475000,B1
B,48840000,48860000,B1
B,45320000,45328000,B1
B,58925000,58933000,B1
B,58390000,58394000,B1
B,56284970,56285970,B1
B,57510000,57515000,B1
B,59187970,59188000,B1
B,47680000,47700000,B1
B,46478970,46480000,B1
B,62680000,62693000,B1
B,55658990,55660000,B1
B,48280000,48290000,B1
B,62360000,62363990,B1
B,65978000,65999999,B1
B,65935000,65937000,B1
B,55255990,55260000,B1
B,56401970,56415000,B1
B,55375000,55380000,B1
B,55280000,55322970,B1
B,63460000,63470000,B1
B,56285970,56300990,B1
B,44645000,44655000,B1
B,57257000,57260000,B1
B,56230000,56250000,B1
B,61756990,61955990,B1
B,47150000,47156970,B1
B,56930000,56990971,B1
B,62770000,62800000,B1
B,55548970,55550000,B1
B,95775000,95778000,B2
B,88780000,88787000,B2
B,95380000,95400000,B2
B,96920000,96947000,B2
B,98855000,98857000,B2
B,99360000,99370000,B2
B,96760000,96796000,B2
B,98940000,98943000,B2
B,89982000,89990000,B2
B,99330000,99345000,B2
B,89400000,89440000,B2
B,96230000,96270000,B2
B,98870000,98897500,B2
B,97300000,97320000,B2
B,89540000,89634000,B2
B,95230000,95236000,B2
B,95748000,95750000,B2
B,97501500,97515000,B2
B,88240000,88245000,B2
B,99460000,99585000,B2
B,96360000,96370000,B2
B,88501000,88531000,B2
B,88882000,88884000,B2
B,95500000,95578500,B2
B,88470000,88490000,B2
B,98947000,98950000,B2
B,88720000,88763000,B2
B,88270000,88275000,B2
B,88260000,88265000,B2
B,89888000,89981000,B2
B,99920000,99970000,B2
B,95480000,95485000,B2
B,96487000,96495000,B2
B,95360000,95365000,B2
B,97800000,97810970,B2
B,96810002,96894000,B2
B,88625000,88655000,B2
B,99840000,99910000,B2
B,96470000,96483000,B2
B,97650000,97660000,B2
B,95315000,95320000,B2
B,98898000,98905000,B2
B,95726000,95730000,B2
B,95320000,95325000,B2
B,98005000,98056000,B2
B,96446000,96447000,B2
B,99675000,99720000,B2
B,96400003,96431000,B2
B,95325000,95330000,B2
B,98780001,98825000,B2
B,95340000,95345000,B2
B,88763000,88765000,B2
B,97170000,97270000,B2
B,89440000,89473000,B2
B,95870000,95873000,B2
B,96181970,96185000,B2
B,97960000,97970000,B2
B,89801000,89874000,B2
B,88370001,88380000,B2
B,88400000,88450000,B2
B,89790000,89801000,B2
B,97970000,97973000,B2
B,95700010,95726000,B2
B,97950000,97960000,B2
B,96501000,96550000,B2
B,89010000,89135000,B2
B,90001970,92500000,B2
B,95580000,95600010,B2
B,89874000,89880000,B2
B,95795000,95800000,B2
B,96610000,96640000,B2
B,95620000,95625000,B2
B,95310000,95312000,B2
B,97385000,97390000,B2
B,96300000,96335000,B2
B,89981000,89982000,B2
B,89880000,89888000,B2
B,92850000,92870000,B2
B,93900000,95010000,B2
B,95965000,95975000,B2
B,99585000,99590000,B2
B,97870000,97913000,B2
B,99670000,99675000,B2
B,98865000,98867000,B2
B,99590000,99600000,B2
B,95760000,95773000,B2
B,95400000,95405000,B2
B,96900000,96912000,B2
B,95790000,95795000,B2
B,89500001,89520000,B2
B,98950000,98955000,B2
B,88600000,88610000,B2
B,88390000,88400000,B2
B,92990000,93893000,B2
B,96495000,96499000,B2
B,95170010,95230000,B2
B,95370000,95380000,B2
B,98595000,98710000,B2
B,96190000,96200003,B2
B,99910000,99920000,B2
B,88935000,88975000,B2
B,96700000,96735000,B2
B,89201000,89295000,B2
B,98240000,98255000,B2
B,97610000,97620000,B2
B,88798000,88801000,B2
B,97670000,97680000,B2
B,98955000,98957000,B2
B,95625000,95630000,B2
B,97280000,97300000,B2
B,96740000,96753000,B2
B,89760000,89790000,B2
B,96570000,96610000,B2
B,97810970,97815000,B2
B,98915000,98916000,B2
B,89135000,89199000,B2
B,97590000,97592000,B2
B,95750000,95751000,B2
B,89478000,89500001,B2
B,88535000,88598000,B2
B,89730000,89760000,B2
B,88801000,88882000,B2
B,88598000,88600000,B2
B,95350000,95355000,B2
B,97390000,97455000,B2
B,96753000,96755000,B2
B,95773000,95775000,B2
B,89634000,89636000,B2
B,97340000,97385000,B2
B,95890000,95924500,B2
B,95250000,95285000,B2
B,95010000,95166000,B2
B,96178000,96180000,B2
B,98758000,98775000,B2
B,88701000,88710000,B2
B,89683000,89700001,B2
B,95778000,95783000,B2
B,95670070,95690000,B2
B,95925000,95964000,B2
B,96990000,97160000,B2
B,88490000,88501000,B2
B,88380000,88385000,B2
B,96010000,96178000,B2
B,89700001,89720000,B2
B,98175000,98200000,B2
B,89636000,89683000,B2
B,88301000,88320000,B2
B,88710000,88720000,B2
B,95300000,95310000,B2
B,97845000,97855000,B2
B,89990000,90001970,B2
B,99445000,99457000,B2
B,95730000,95733000,B2
B,88460000,88465000,B2
B,99440000,99445000,B2
B,98960000,99001970,B2
B,99370000,99440000,B2
B,96950000,96960000,B2
B,88658000,88688000,B2
B,89370000,89375000,B2
B,98958000,98960000,B2
B,96947000,96950000,B2
B,95630000,95670070,B2
B,96395000,96399000,B2
B,89199000,89201000,B2
B,88320000,88330003,B2
B,95365000,95370000,B2
B,96640000,96695000,B2
B,95875000,95888000,B2
B,92500000,92850000,B2
B,88884000,88890000,B2
B,95600010,95614000,B2
B,88980000,88993000,B2
B,99457000,99460000,B2
B,89295000,89310000,B2
B,98905000,98907000,B2
B,98255000,98270000,B2
B,98918000,98936000,B2
B,88765000,88775000,B2
B,95758000,95760000,B2
B,88925000,88934000,B2
B,96448000,96455000,B2
B,99720000,99725000,B2
B,95420000,95425000,B2
B,98120000,98173000,B2
B,88330003,88350001,B2
B,97335000,97337000,B2
B,88900001,88923000,B2
B,98118000,98119500,B2
B,88350001,88370001,B2
B,95745000,95748000,B2
B,92870000,92900000,B2
B,95800000,95839000,B2
B,95330000,95340000,B2
B,95345000,95350000,B2
B,88385000,88390000,B2
B,98910000,98911000,B2
B,98200000,98240000,B2
B,96755000,96760000,B2
B,88295000,88301000,B2
B,88010000,88240000,B2
B,99725000,99840000,B2
B,96445000,96446000,B2
B,87999999,88010000,B2
B,98733000,98734000,B2
B,99345000,99360000,B2
B,95755000,95758000,B2
B,96460000,96465000,B2
B,95240000,95244000,B2
B,88790000,88794000,B2
B,89520000,89540000,B2
B,96200003,96230000,B2
B,99970000,99990000,B2
B,95236000,95238700,B2
B,99600000,99670000,B2
B,95355000,95360000,B2
B,97538000,97555000,B2
B,95975000,96010000,B2
B,97980000,97990000,B2
B,97571000,97585000,B2
B,97760000,97800000,B2
B,95166000,95170010,B2
B,97843000,97844000,B2
B,95735000,95745000,B2
B,92900000,92990000,B2
B,89340000,89344000,B2
B,97685000,97760000,B2
B,98735000,98753000,B2
B,98860000,98865000,B2
B,97920000,97945000,B2
B,88890000,88900001,B2
B,89380000,89384000,B2
B,97327000,97330000,B2
B,98270000,98573000,B2
B,88450000,88452000,B2
B,99001970,99330000,B2
B,95690000,95700010,B2
B,95783000,95790000,B2
B,96270000,96300000,B2
B,95290000,95296000,B2
B,95840000,95869000,B2
B,97640000,97647000,B2
B,98575000,98593000,B2
B,96735000,96740000,B2
B,98850000,98853000,B2
B,76369970,76372000,B3
B,5320000,5356000,B3
B,37490000,37496000,B3
B,76315000,76319970,B3
B,56670000,56680970,B3
B,78255000,78265000,B3
B,77725000,77733000,B3
B,62390000,62400000,B3
B,76940000,76948000,B3
B,39320000,39334200,B3
B,88688000,88701000,B3
B,35830000,35835000,B3
B,78398000,78400000,B3
B,78278000,78280000,B3
B,6366900,6380010,B3
B,24900001,25010000,B3
B,75455000,75459970,B3
B,5301000,5320000,B3
B,5154000,5174000,B3
B,96370000,96395000,B3
B,63400000,63430000,B3
B,75714000,75715000,B3
B,98907000,98910000,B3
B,4846000,4847000,B3
B,78636970,78638000,B3
B,64638000,64640000,B3
B,76690000,76699970,B3
B,77750000,77753000,B3
B,86910000,86930000,B3
B,73700000,73730000,B3
B,28348000,28365000,B3
B,37950970,37960000,B3
B,76249970,76250000,B3
B,96431000,96445000,B3
B,77558000,77580000,B3
B,35258000,35300001,B3
B,41411000,41480000,B3
B,29848990,29850000,B3
B,75350000,75354970,B3
B,62159000,62160000,B3
B,36840000,36878000,B3
B,14340000,14350959,B3
B,35250000,35258000,B3
B,8582000,8583000,B3
B,96455000,96460000,B3
B,77365000,77368000,B3
B,78590000,78593000,B3
B,75935000,75945000,B3
B,78280000,78285000,B3
B,75759970,75760000,B3
B,36360000,36370000,B3
B,77349971,77350000,B3
B,84560000,84640000,B3
B,37517000,37750000,B3
B,35655000,35657000,B3
B,47966000,47970000,B3
B,69160000,69184970,B3
B,16700000,17010000,B3
B,42843000,42850000,B3
B,87111000,87280000,B3
B,96550000,96570000,B3
B,37900001,37910000,B3
B,76469970,76470000,B3
B,39598000,39615000,B3
B,59803000,59805000,B3
B,87964000,87970000,B3
B,72944000,72960000,B3
B,35388000,35390000,B3
B,35669000,35670000,B3
B,39848000,39850000,B3
B,64753000,64755000,B3
B,69800000,69820000,B3
B,72599899,72669000,B3
B,35430001,35440000,B3
B,78400000,78403970,B3
B,13710000,13715000,B3
B,83393971,83401000,B3
B,26110005,26112000,B3
B,58893000,58895000,B3
B,75429970,75430000,B3
B,84400000,84410970,B3
B,76319970,76320000,B3
B,45178000,45180000,B3
B,76999000,77001002,B3
B,39202970,39205000,B3
B,29670000,29680000,B3
B,77895000,77905000,B3
B,78700002,78752000,B3
B,76180000,76189970,B3
B,18480000,18500000,B3
B,29390000,29399990,B3
B,69400030,69422970,B3
B,77350000,77365000,B3
B,15260000,15270000,B3
B,54753000,55000990,B3
B,35984000,36001970,B3
B,76470000,76479970,B3
B,18565000,18570000,B3
B,78560000,78564970,B3
B,76254970,76255000,B3
B,39334200,39335000,B3
B,39477971,39478000,B3
B,86380000,86600001,B3
B,29455990,29460000,B3
B,85770000,85775000,B3
B,49640000,49670000,B3
B,85670000,85725970,B3
B,78420000,78425000,B3
B,76170000,76179970,B3
B,37948000,37950970,B3
B,21531000,21532000,B3
B,39210000,39219000,B3
B,76492970,76493000,B3
B,25030001,25040003,B3
B,29405990,29450000,B3
B,96960000,96990000,B3
B,38650000,38654000,B3
B,15530000,15540000,B3
B,78674000,78677970,B3
B,15350000,15437970,B3
B,11995000,12010000,B3
B,98867000,98870000,B3
B,35670000,35695000,B3
B,98943000,98947000,B3
B,14115000,14120000,B3
B,37275000,37278000,B3
B,35447000,35450000,B3
B,44935000,44940000,B3
B,76135000,76139970,B3
B,76879000,76880000,B3
B,55410000,55415000,B3
B,95888000,95890000,B3
B,62334000,62340000,B3
B,76926000,76928000,B3
B,29525990,29540000,B3
B,75820000,75823000,B3
B,75175000,75179970,B3
B,76500000,76540000,B3
B,78855000,78871970,B3
B,73858000,73860000,B3
B,29630000,29640000,B3
B,12770000,12800000,B3
B,36500001,36513000,B3
B,59985000,59987000,B3
B,35628000,35640000,B3
B,37922000,37940000,B3
B,35910000,35935000,B3
B,58820000,58823000,B3
B,39870000,39893000,B3
B,75749970,75750000,B3
B,97647000,97650000,B3
B,19900001,19920000,B3
B,76244970,76245000,B3
B,36370000,36400970,B3
B,79470000,79500000,B3
B,76465000,76469970,B3
B,35620000,35621000,B3
B,27550000,27553000,B3
B,5201040,5301000,B3
B,11970000,11990000,B3
B,78335000,78345000,B3
B,26190000,26195000,B3
B,75779970,75780000,B3
B,37757000,37760000,B3
B,68675000,68685000,B3
B,78795000,78840000,B3
B,75459970,75460000,B3
B,35500001,35519000,B3
B,36148000,36185000,B3
B,39703000,39708000,B3
B,63480000,63490000,B3
B,73380150,73389003,B3
B,23900010,24003900,B3
B,75440000,75449970,B3
B,68530000,68533000,B3
B,68639000,68670000,B3
B,29884982,29885000,B3
B,64330000,64340000,B3
B,76200000,76235000,B3
B,68620000,68625005,B3
B,73870000,73890000,B3
B,64345000,64360000,B3
B,76699970,76700000,B3
B,17720000,17760000,B3
B,76340000,76342970,B3
B,6331005,6332000,B3
B,65962000,65978000,B3
B,65307000,65310000,B3
B,78516970,78520000,B3
B,76342970,76343000,B3
B,76459970,76460000,B3
B,39945000,39999999,B3
B,35146000,35199000,B3
B,68490000,68500005,B3
B,5801000,6010000,B3
B,76980002,76995000,B3
B,11990000,11995000,B3
B,27553000,27560000,B3
B,28495000,28500000,B3
B,55590000,55595970,B3
B,76440000,76449970,B3
B,78360000,78361000,B3
B,65280000,65283000,B3
B,28473000,28480000,B3
B,88923000,88925000,B3
B,29200010,29349970,B3
B,2984000,3355000,B3
B,4283000,4287010,B3
B,63160000,63165000,B3
B,29999999,30001970,B3
B,76320000,76335000,B3
B,8010000,8110000,B3
B,78425000,78430000,B3
B,77453000,77462970,B3
B,62530000,62540000,B3
B,38649000,38650000,B3
B,29387000,29390000,B3
B,83600959,83900000,B3
B,75615000,75619970,B3
B,36680000,36700000,B3
B,76100970,76119970,B3
B,29662970,29665000,B3
B,47160000,47200000,B3
B,69940000,69950000,B3
B,93893000,93900000,B3
B,85825000,85892000,B3
B,7801000,8010000,B3
B,75645000,75649970,B3
B,75750000,75759970,B3
B,29450000,29455990,B3
B,77733000,77744980,B3
B,39478000,39480000,B3
B,17760000,18010000,B3
B,29795000,29805980,B3
B,97320000,97327000,B3
B,34990000,35001959,B3
B,77655000,77670000,B3
B,29843000,29848990,B3
B,35440000,35442000,B3
B,65680000,65683000,B3
B,36250000,36350000,B3
B,7060000,7158000,B3
B,68518000,68520000,B3
B,35621000,35625000,B3
B,14530000,14540000,B3
B,39730000,39800001,B3
B,88465000,88470000,B3
B,28480000,28483000,B3
B,9560000,11010000,B3
B,78240000,78243000,B3
B,2833000,2901000,B3
B,73010000,73100000,B3
B,78515000,78516970,B3
B,29370000,29378990,B3
B,56730000,56740000,B3
B,14960000,15190000,B3
B,76360000,76363000,B3
B,78871970,78875000,B3
B,35845000,35904000,B3
B,28990001,29000971,B3
B,38400010,38465000,B3
B,38475000,38530000,B3
B,88794000,88798000,B3
B,37500001,37516000,B3
B,87840000,87915000,B3
B,85218970,85225000,B3
B,36828000,36830000,B3
B,13030010,13040000,B3
B,95839000,95840000,B3
B,95578500,95580000,B3
B,36470000,36500001,B3
B,65810000,65830000,B3
B,38160000,38180001,B3
B,76973000,76974000,B3
B,76554970,76555000,B3
B,11472000,11473075,B3
B,68475000,68488000,B3
B,39460000,39465000,B3
B,37940000,37945000,B3
B,28445000,28450000,B3
B,35478000,35485000,B3
B,35657000,35660001,B3
B,35249000,35250000,B3
B,36710000,36720000,B3
B,45128000,45130000,B3
B,64815000,64825000,B3
B,64758000,64770000,B3
B,12850000,12900002,B3
B,73730000,73740000,B3
B,50010000,50021959,B3
B,39492000,39495000,B3
B,28010000,28118000,B3
B,27110000,27155000,B3
B,32625034,32628002,B3
B,85400000,85501020,B3
B,36893000,36900000,B3
B,78564970,78565000,B3
B,75360970,75380001,B3
B,55440000,55445970,B3
B,62955000,62960000,B3
B,87730000,87755990,B3
B,16260000,16400010,B3
B,14800005,14840001,B3
B,78610000,78621970,B3
B,84200000,84381970,B3
B,64530000,64535000,B3
B,68637000,68638000,B3
B,75813000,75815000,B3
B,78480000,78500000,B3
B,76120000,76124970,B3
B,35490000,35500001,B3
B,36525000,36579000,B3
B,18123990,18125000,B3
B,36753970,36760000,B3
B,16010000,16255000,B3
B,36513000,36515000,B3
B,77905000,77915000,B3
